"ball","rw1","rw2","rw3","sum","w1x","w1y","w2x","w2y","w3x","w3y","deltaX","deltaY","distX","distY"
"Duke",49.21600000000001,52.39799999999999,48.528999999999996,150.142,24.610000000000003,-42.62,26.199999999999996,45.379,-48.528999999999996,0,0.7599999999999999,0.9200000000000002,0.4900000000000001,0.591
"Duke",49.218,52.40499999999999,48.517,150.142,24.610000000000003,-42.623,26.204,45.38399999999999,-48.517,0,0.7659999999999998,0.9200000000000002,0.496,0.5979999999999999
"Duke",49.222,52.40199999999999,48.509,150.13600000000002,24.610000000000003,-42.628,26.198999999999995,45.38199999999999,-48.509,0,0.7679999999999998,0.9200000000000002,0.49800000000000005,0.594
"Duke",49.226000000000006,52.39799999999999,48.510999999999996,150.138,24.613999999999997,-42.629999999999995,26.197999999999997,45.378,-48.510999999999996,0,0.7659999999999998,0.917,0.49800000000000005,0.59
"Duke",49.226000000000006,52.39899999999999,48.502,150.128,24.613,-42.63099999999999,26.197999999999997,45.379,-48.502,0,0.768,0.915,0.49800000000000005,0.59
"Duke",49.289,52.866,48.47999999999999,150.63299999999998,24.643,-42.684,26.433000000000003,45.782999999999994,-48.47999999999999,0,0.866,1.0340000000000003,0.5589999999999999,0.6629999999999999
"Duke",51.633,72.40499999999999,48.47,172.503,25.814,-44.71300000000001,36.20099999999999,62.70399999999999,-48.47,0,4.516,5.997000000000001,2.479,3.274
"Duke",48.232,71.921,45.274,165.42499999999998,24.114,-41.767999999999994,35.958,62.286,-45.274,0,4.932,6.840000000000001,2.779,3.841
"Duke",49.164,52.386,48.586999999999996,150.138,24.582,-42.57899999999999,26.192,45.366,-48.586999999999996,0,0.7300000000000001,0.9299999999999999,0.46999999999999986,0.5999999999999999
"Duke",49.18,52.38100000000001,48.566,150.13100000000003,24.59,-42.592000000000006,26.191000000000003,45.367000000000004,-48.566,0,0.7390000000000001,0.922,0.4779999999999999,0.5999999999999999
"Duke",49.19499999999999,52.385000000000005,48.54600000000001,150.12700000000004,24.597999999999995,-42.60600000000001,26.191000000000003,45.365,-48.54600000000001,0,0.748,0.921,0.48500000000000004,0.5959999999999999
